График работ (2 человека, задачи по ≤ 2 часа)

Обозначим участников: A и B. Старт: 2026-07-10. Формат: каждый таск = конкретная функция/модуль.
Дата	Таск	Владелец	Часы	Результат (что должно быть готово)	Зависимости
2026-07-10	1	A	2.0	skeleton Makefile, каркас main/push_swap.c	—
2026-07-10	2	B	2.0	t_stack/t_node, stack_init/clear/push_top	1
2026-07-11	3	A	2.0	t_ctx + счётчики op (op_total/op_counts) + bench_enabled	1,2
2026-07-11	4	B	2.0	op_sa/op_sb/op_ss (реально меняют узлы + print + счётчики)	2,3
2026-07-12	5	A	2.0	op_pa/op_pb (top перенос между stacks) + print + счётчики	2,3
2026-07-12	6	B	2.0	op_ra/op_rb/op_rr + print + счётчики	2,3
2026-07-13	7	A	2.0	op_rra/op_rrb/op_rrr + print + счётчики	6
2026-07-13	8	B	2.0	fatal_error() (stderr Error\n) + базовые ошибки в main	1
2026-07-14	9	A	2.0	parse_args() (ints, no-dups) → values[], без сортировки пока	8
2026-07-14	10	B	1.5	compute_disorder_values() (O(n²), строго пары как в ТЗ)	9
2026-07-15	11	A	2.0	compute_ranks() (сорт копии + map value→rank)	9
2026-07-15	12	B	2.0	stack_is_sorted_asc() + sort_three_a() (на ranks)	2,11
2026-07-16	13	A	2.0	small helpers для стратегий: stack_min_rank, index_of_rank, bring_rank_to_top_a	12
2026-07-16	14	B	2.0	sort_small() (короткие n: 2/3/4/5 минимальными операциями через brute/правила)	12
2026-07-17	15	A	2.0	strategy_simple() (min extraction + sort_three + pa-back)	13,14,7
2026-07-17	16	B	2.0	подключение --simple в main + вызов + корректный stdout-only поток	15,4-7
2026-07-18	17	A	2.0	strategy_medium() helpers: medium_push_chunks_to_b()	11,13
2026-07-18	18	B	2.0	strategy_medium() full (push chunks → pa-back) + подключение --medium	17,16
2026-07-19	19	A	2.0	radix helpers: get_max_rank, get_maxbits	2
2026-07-19	20	B	2.0	strategy_complex() + подключение --complex	19,5-7
2026-07-20	21	A	2.0	strategy_adaptive() (порог disorder и выбор)	10,15,18,20
2026-07-20	22	B	1.5	bench_print_and_counts() + формат в stderr (2 знака, counts всех op types)	3,21
2026-07-21	23	A	2.0	--bench режим: после сортировки печать метрик, но stdout только ops	22
2026-07-21	24	B	2.0	--adaptive default поведение + “если без параметров — ничего” + финальная сборка	23
2026-07-22	25	A	1.5	интеграционный прогон на маленьких n (проверка is_sorted + корректность stdout ops)	24
2026-07-22	26	B	2.0	тест-скрипт наборов (random/almost/reverse), и лог минимизации/ops counts	25
2026-07-23	27	A	2.0	README: rationale порогов + что за техники в каждом режиме + upper bound в модели ops	26
2026-07-23	28	B	1.5	финальный полишинг: формат вывода (оп только + \n), make clean/fclean/re	27
